identifier,Number of trading,Number of trading symbol,Number of buy,Number of sell,Trading frequency
1352,7,3,4,3,12.148348765432102
1353,54,5,29,25,312.26481527777776
1354,4,2,2,2,1169.2330555555554
1355,45,18,23,22,216.53704248366012
1356,13,4,7,6,84.58722222222221
1359,39,14,19,20,212.48247354497357
1360,24,10,13,11,296.53561111111105
1361,16,6,8,8,748.2864120370369
1362,18,8,9,9,424.79184193121694
1365,2,1,1,1,168.68972222222223
1366,418,16,211,207,45.53408865988357
1367,31,3,28,3,157.1769957912458
1368,131,21,69,62,165.64442074735229
1369,66,18,37,29,162.7577036792083
1370,4,2,3,1,0.7441666666666666
1371,133,11,86,47,153.97327374338622
1372,34,11,22,12,247.00433080808088
1373,22,5,12,10,319.5873944444445
1374,5,2,3,2,1051.29
1375,64,16,39,25,483.37261547619056
1376,25,5,19,6,50.517734932659934
1377,7,5,6,1,0.2288888888888889
1379,10,4,5,5,3044.562482638889
1380,11,7,7,4,693.3333333333334
1381,22,7,12,10,661.8194529478459
1382,13,5,7,6,1900.4445416666665
1383,84,17,59,25,563.5231166802037
1384,103,15,55,48,169.18111329356918
1385,3,2,2,1,0.6755555555555556
1386,145,15,73,72,25.59918956523909
1387,48,10,25,23,414.770187345679
1388,17,4,15,2,969.7735509259259
1389,5,3,3,2,1163.9999305555557
1390,3,2,2,1,34.750972222222224
1391,33,14,17,16,255.22662202380948
1392,9,2,5,4,134.63199404761906
1395,23,7,14,9,114.19148875661377
1396,7,3,4,3,2398.1609722222224
1398,354,23,184,170,222.5924301609973
1399,52,14,26,26,454.31186094576714
1400,7,4,4,3,2.4189814814814814
1401,35,11,18,17,155.19487542087543
1402,10,4,5,5,562.9292283950617
1403,2,1,1,1,1559.5002777777777
1404,37,7,19,18,88.9145101095994
1405,29,15,15,14,175.85901785714285
1406,40,10,25,15,302.25270826719577
1407,17,8,9,8,328.0937301587302
1408,691,57,351,340,160.5164577784727
1410,4,1,2,2,623.8019444444444
1411,370,17,183,187,351.6485285541178
1413,11,5,9,2,712.1249691358025
1414,6,5,5,1,3096.354861111111
1415,25,7,15,10,476.2312885802469
1416,57,13,45,12,422.3788938746439
1417,633,66,341,292,173.12735752697571
1418,18,6,9,9,5.893086419753086
1420,30,6,25,5,1119.178144973545
1421,22,8,16,6,0.23456790123456792
1422,6,4,4,2,576.4810416666667
1423,30,9,20,10,1750.1901491769547
1424,25,4,14,11,377.9844118265994
1425,30,13,17,13,534.7483501683502
1426,23,5,14,9,213.27016565656567
1427,84,13,61,23,376.7342760596291
1428,5,3,3,2,1158.2644444444445
1429,17,4,9,8,22.061787037037035
1431,2,1,1,1,0.4861111111111111
1432,35,4,32,3,593.4320758101852
1433,68,11,32,36,87.97710682482722
1434,23,9,14,9,496.0991018518518
1437,31,9,20,11,122.00797692533804
1438,3,1,2,1,312.33324074074073
1439,8,4,5,3,639.4381944444444
1440,37,13,19,18,565.2046431327161
1441,7,3,4,3,1649.4745486111112
1443,78,10,44,34,85.80366876780627
1444,16,6,12,4,450.0142386831276
1445,559,19,368,191,26.75845580517867
1447,55,16,28,27,374.0276982060185
1448,5,3,3,2,1.0924305555555556
1449,220,15,180,40,59.23811065759949
1450,5,3,3,2,1260.099861111111
1451,21,4,13,8,209.65233134920632
1452,14,4,7,7,147.48259837962962
1453,12,4,7,5,61.0495787037037
1454,17,4,10,7,100.49477366255144
1455,9,5,5,4,458.8913541666667
1457,6,3,5,1,0.03763888888888889
1458,10,2,5,5,64.86458333333334
1459,1778,121,1373,405,80.20127161631106
1460,6,3,3,3,1.7794907407407408
1461,22,7,11,11,340.1500892857143
1462,15,6,8,7,398.14195601851844
1463,21,7,12,9,27.24431216931217
1464,23,6,13,10,230.2143529541446
1465,12,8,8,4,999.4744097222223
1466,87,30,44,43,20.621534319645733
1467,39,8,27,12,486.3630926477073
1469,33,15,20,13,368.42741126543206
1470,7,6,6,1,3455.7966666666666
1471,14,7,7,7,630.7493055555555
1472,28,13,14,14,121.84721688034188
1474,757,50,416,341,86.96416362351434
1475,27,9,14,13,62.21588734567902
1476,22,4,12,10,330.5554700854701
1477,17,9,9,8,108.52892361111111
1478,18,3,11,7,1083.1591632996633
1479,74,16,39,35,1533.4924746472661
1480,63,7,46,17,112.97707315832315
1481,90,25,74,16,511.0615265988037
1483,4,2,3,1,2135.999444444444
1484,4,2,2,2,534.7626388888889
1485,44,5,28,16,107.61742868165784
1486,2,1,1,1,577.1665277777778
1487,4,2,2,2,168.33263888888888
1488,15,5,8,7,8.755722222222222
1489,5,4,4,1,2569.7819444444444
1491,29,5,16,13,413.5178367965368
1493,6,3,4,2,109.90409722222222
1494,24,9,12,12,596.5823302469137
1495,99,20,51,48,127.3820111882716
1496,162,18,82,80,208.80088564079955
1497,10,3,5,5,1253.2885462962963
1498,30,7,20,10,727.47848324515
1499,19,3,9,10,442.57123809523813
1500,23,7,12,11,602.2840575396825
1502,49,14,33,16,832.9254708994711
1503,13,3,7,6,301.0687037037037
1504,550,33,322,228,238.9056699222992
1505,17,7,9,8,2.326853174603175
1506,497,23,255,242,96.18368540044966
1507,26,6,13,13,288.49518867577893
1508,28,8,20,8,675.9895153356481
1509,15,6,8,7,283.1836388888888
1510,78,23,39,39,856.9280889694043
1511,4,2,2,2,870.5977777777779
1512,60,14,31,29,159.6454899691358
1513,34,12,17,17,364.42295910493834
1514,16,7,8,8,1534.0234325396825
1515,47,5,25,22,70.78826792929291
1516,39,12,21,18,375.90136153198654
1517,2052,47,1121,931,101.63745701357743
1519,129,1,65,64,34.58753014642549
1520,21,5,10,11,556.9205534391534
1521,79,24,41,38,147.6426362893151
1522,24,10,12,12,64.38490277777778
1523,29,12,17,12,2517.32152970679
1524,66,9,56,10,535.0062836700337
1525,32,6,16,16,449.5819391534392
1526,34,9,18,16,302.94025077160495
1527,70,16,43,27,152.03859470072751
1528,9,4,5,4,576.9995601851851
1529,17,8,11,6,596.8718121693121
1530,45,17,23,22,336.94951906318084
1531,135,20,86,49,85.29915118928187
1533,47,10,37,10,411.5953134700177
1535,13,5,7,6,276.26456018518513
1536,15,6,9,6,51.07226851851851
1537,5,2,3,2,466.4928703703704
1538,7,4,4,3,436.05601851851856
1540,10,5,7,3,400.3250925925926
1541,25,8,15,10,92.02687786596118
1542,15,6,9,6,763.2668564814816
1543,377,35,199,178,15.045280407983702
1544,7,4,6,1,0.14152777777777778
1545,22,2,13,9,310.276454248366
1546,73,17,35,38,58.62100976501712
1547,19,8,10,9,502.9077526455026
1549,403,38,336,67,184.2040109063287
1550,11,4,7,4,294.440005787037
1551,6,3,4,2,6.228125
1552,5,2,3,2,4.558819444444444
1553,11,4,6,5,73.29524999999998
1554,111,20,79,32,281.19254435769886
1555,759,35,379,380,144.39644269779865
1556,6,3,3,3,443.32865740740743
1557,508,62,279,229,155.0461844471229
1558,129,19,72,57,129.65615667641327
1559,29,8,15,14,136.33707031249997
1560,5,3,4,1,6.499513888888889
1561,5,3,3,2,348.9189583333333
1562,414,23,309,105,112.9758436599358
1563,15,4,14,1,423.51371913580243
1564,12,4,8,4,996.3333333333333
1565,10,5,5,5,583.2078888888889
1566,40,12,21,19,74.33763657407407
1567,77,13,39,38,262.8690474260733
1568,6,3,3,3,3.992129629629629
1569,34,10,19,15,420.0497420634921
1570,6,3,3,3,240.81949074074075
1571,46,12,26,20,284.68477595899475
1572,26,6,22,4,663.763293595679
1573,477,46,287,190,213.02466396212694
1574,37,8,19,18,248.1405447048611
1576,18,7,9,9,615.8970734126984
1577,70,22,41,29,474.2239213659148
1579,13,3,9,4,50.95130401234568
1580,3,1,2,1,136.3925
1581,17,3,9,8,48.76664517195767
1582,36,13,19,17,194.33787731481482
1583,17,6,11,6,237.00403086419752
1584,115,12,81,34,201.90754346750796
1587,135,22,78,57,164.74471916039911
1588,3,1,2,1,288.0001851851852
1589,364,23,234,130,238.6326301532408
1590,17,5,11,6,173.295703125
1591,34,12,19,15,461.59976576278655
1592,18,9,10,8,542.6563591269841
1593,38,6,27,11,320.27340292207793
1594,37,14,20,17,100.35147652116406
1595,84,20,40,44,344.16963460735167
1596,7,2,4,3,233.96705555555553
1597,48,7,25,23,142.0363900560224
1598,12,4,7,5,188.52003009259258
1599,10,2,6,4,172.957585978836
1600,19,9,10,9,174.14394097222225
1601,9,3,5,4,567.5741203703705
1602,4,2,3,1,128.1064814814815
1604,9,6,8,1,258.90085648148147
1605,165,13,89,76,218.10097719588106
1606,4,2,3,1,56.333333333333336
1607,821,32,459,362,88.76977050776938
1608,32,9,17,15,1621.8660288065844
1609,7,5,5,2,497.015
1610,2,1,1,1,2603.5
1611,23,5,14,9,669.9237777777778
1612,399,29,200,199,166.202323628623
1613,9,2,8,1,521.2173680555555
1614,25,6,14,11,562.7624074074075
1616,27,5,16,11,120.0722762345679
1617,12,4,9,3,631.3945416666667
1618,10,3,5,5,712.1665046296297
1619,278,27,169,109,159.30323083925583
1621,104,11,78,26,226.54147967007373
1622,103,12,51,52,215.13927546660753
1623,21,7,11,10,139.3613558201058
1624,218,10,168,50,135.8323676712293
1625,5,3,3,2,455.5340972222222
1626,337,27,176,161,90.621497743385
1627,33,5,18,15,460.65493194444446
1628,78,16,46,32,36.62783337304829
1629,2277,90,1429,848,58.79595164218581
1630,29,5,27,2,362.1807582010582
1631,5,2,3,2,349.9999305555556
1632,11,5,7,4,2012.3421990740742
1633,12,8,8,4,1427.7726388888889
1634,37,6,31,6,738.0915013227514
1635,6,4,4,2,503.285625
1636,32,4,19,13,298.68608134920635
1637,3,1,2,1,471.9999074074074
1638,10,4,5,5,627.2658333333334
1640,53,6,38,15,140.81559128654268
1641,72,19,36,36,120.30501157407406
1642,22,4,14,8,197.5061857638889
1644,4,2,2,2,731.3375694444444
1646,1387,46,727,660,45.319150737931885
1647,332,15,240,92,101.04669598991863
1648,635,36,402,233,68.60125124471564
1649,35,18,18,17,187.63608660130717
1651,53,6,51,2,303.3994666907167
1652,8,2,4,4,563.9463425925926
1653,3,2,2,1,1857.9145833333334
1654,26,5,13,13,8.040449074074072
1655,36,7,22,14,510.3962370664315
1656,363,10,358,5,119.09688072889575
1657,38,4,19,19,100.41624537037038
1658,209,47,104,105,101.6081286164584
1659,28,7,16,12,441.1683050144301
1661,9,4,5,4,219.5129050925926
1662,2,1,1,1,0.47194444444444444
1663,41,5,37,4,324.0726925925926
1664,2,1,1,1,1990.8240277777777
1665,94,12,48,46,168.99132980324075
1666,6,2,4,2,297.14208333333335
1667,9,5,5,4,193.86743055555556
1668,6,3,5,1,0.011898148148148147
1669,8,5,5,3,968.2901851851852
1670,19,4,15,4,964.334746031746
1671,40,13,33,7,1074.8799946581194
1672,19,3,10,9,326.7777866809117
1673,62,17,34,28,221.14310838779957
1674,13,5,7,6,306.9327314814815
1675,17,8,9,8,375.25129050925926
1677,20,10,10,10,81.84963888888889
1679,14,7,8,6,538.5803163580248
1680,146,26,92,54,268.5107567102072
1681,11,4,7,4,60.50577546296295
1682,4,1,3,1,203.74645833333332
1683,37,13,21,16,284.81779031635807
1685,20,8,11,9,0.42391534391534386
1686,67,11,51,16,308.4991265284423
1687,19,6,10,9,426.081362654321
1688,10,5,9,1,1053.3419598765431
1689,36,14,18,18,146.23183283730157
1690,19,5,11,8,166.61436805555556
1691,5,4,4,1,0.31819444444444445
1692,120,10,61,59,87.58716843820862
1693,48,14,24,24,359.2812433862433
1694,16,7,9,7,179.05209656084656
1695,7,2,5,2,52.09292824074075
1696,75,10,41,34,188.17120494257088
1697,7,3,4,3,114.0529012345679
1698,25,9,13,12,364.76821469907406
1699,33,8,25,8,912.8401168981482
1700,7,3,4,3,244.6523611111111
1701,38,13,24,14,769.452707977208
1702,69,18,38,31,127.19873823302467
1703,13,4,6,7,837.3987962962963
1704,7,3,4,3,221.40529320987653
1705,35,14,18,17,419.37004706790134
1706,72,10,39,33,74.45355330330331
1707,18,8,10,8,88.68026909722224
1708,2,1,1,1,0.4597222222222222
1709,6,1,3,3,31.836805555555557
1710,185,33,99,86,335.43398822868875
1711,22,13,19,3,1474.0338333333334
1712,113,33,57,56,267.62535300925924
1713,13,8,8,5,1506.048388888889
1714,59,13,33,26,187.26992712148964
1715,10,4,5,5,129.5748611111111
1716,36,12,20,16,261.0262055555555
1717,85,27,50,35,281.50513709646503
1718,15,7,8,7,917.7078703703704
1719,35,15,19,16,318.9547654320988
1720,111,14,65,46,152.73562681426318
1721,16,5,10,6,60.026905092592585
1723,218,14,113,105,57.09118169231716
1724,82,8,50,32,385.03752731769026
1725,35,5,21,14,211.57087459150324
1726,6,2,4,2,203.73565972222224
1728,2,1,1,1,610.9020833333333
1729,19,7,11,8,216.75295524691356
1730,177,26,97,80,247.49830067997735
1731,2,1,1,1,23.9775
1732,65,7,37,28,22.68991395757021
1735,4,3,3,1,2098.946111111111
1736,199,36,102,97,112.82345032596373
1737,2,1,1,1,1044.088611111111
1739,59,15,30,29,6.383912345679011
1740,58,14,36,22,485.9634136002886
1741,549,46,398,151,246.58035482466664
1742,109,14,55,54,69.52785552248677
1743,788,28,397,391,89.3920105774758
1744,819,49,456,363,118.60435416974303
1745,5,3,3,2,982.132638888889
1746,245,14,172,73,255.64231459750548
1747,13,2,7,6,258.44831790123453
1748,4,3,3,1,0.3036111111111111
1750,24,6,12,12,185.35029706790127
1751,59,23,29,30,586.5629166666666
1752,65,9,55,10,213.68286005780914
1753,20,7,11,9,707.2030158730158
1754,17,5,11,6,677.0329930555556
1756,9,3,5,4,406.64465277777776
1757,7,4,6,1,264.33875
1759,59,15,30,29,176.98537748015875
1760,1489,67,902,587,58.503037259281705
1761,16,6,9,7,590.8227577160493
1762,84,24,45,39,181.81667292664395
1763,41,9,21,20,152.71682014590345
1764,12,6,7,5,862.2466666666667
1765,2,1,1,1,935.1452777777778
1766,203,43,118,85,58.25775461056953
1767,62,7,44,18,147.54105287226
1768,7,4,4,3,619.9575462962963
1769,19,5,11,8,160.16794907407407
1770,127,11,91,36,280.5188440639918
1771,107,31,56,51,332.6757537568465
1772,984,54,483,501,80.85064140725918
1774,26,4,21,5,618.5439566798942
1776,84,19,42,42,85.16277521929824
1777,7,3,4,3,369.0417013888889
1778,3,2,2,1,37.99069444444444
1779,898,48,453,445,77.99006387853312
1780,119,20,62,57,41.401473528439155
1781,10,2,9,1,384.08635582010584
1782,3,2,2,1,0.1723611111111111
1783,33,14,17,16,343.61712136243386
1785,13,1,11,2,273.15384615384613
1787,10797,119,6698,4099,42.64295191078149
1788,29,10,22,7,666.7297352430555
1790,27,6,21,6,618.4531665564374
1791,21,4,13,8,11.608449459876542
1792,1977,57,1094,883,123.17954688941032
1793,85,24,45,40,59.287956757973255
1794,5,2,3,2,1200.6762037037038
1795,46,10,23,23,537.4305380658435
1796,31,9,17,14,125.61181400646677
1797,20,9,11,9,999.2272479423868
1798,511,35,262,249,65.59610113586547
1799,35,6,30,5,359.3346573706644
1800,34,10,19,15,261.23564715608467
1802,22,7,12,10,287.2526891534392
1804,219,48,117,102,242.3984374047859
1805,4,2,2,2,0.92125
1806,86,10,72,14,143.99883668300654
1808,39,9,20,19,397.8635401234568
1809,2,1,1,1,0.02486111111111111
1810,15,7,8,7,6.33375
1811,26,13,14,12,161.8262114197531
1812,56,13,31,25,272.26717447598696
1813,77,4,39,38,21.777061683006536
1814,46,4,20,26,109.96150396825396
1815,6,2,3,3,0.05659722222222222
1816,451,24,239,212,75.60894765424992
1817,10,1,6,4,12.225194444444444
1818,105,21,53,52,117.58864439603002
1819,106,21,54,52,85.02255006105005
1820,74,21,39,35,435.9267445987654
1821,71,14,65,6,729.7478239087303
1822,54,19,32,22,213.9604989858907
1823,1581,40,768,813,67.79446917243533
1824,31,11,16,15,384.0555618686869
1826,200,43,100,100,300.346499461671
1828,711,46,375,336,72.17247201001607
1829,171,24,88,83,42.834533800690046
1830,55,13,28,27,115.73141234228736
1831,4,1,2,2,0.3821527777777778
1832,39,12,20,19,34.7883132164903
1833,160,27,98,62,271.6059539141414
1834,4,2,2,2,401.89743055555556
1835,123,29,66,57,122.01203095586033
1837,27,12,16,11,631.559
1839,12,8,10,2,1572.2054629629629
1840,161,18,102,59,69.33565127278983
1841,22,4,13,9,505.5450677910053
1843,42,11,22,20,101.47233579383578
1844,44,3,24,20,121.30170601851852
1845,34,11,24,10,299.4300831228956
1846,68,19,35,33,176.59279189292675
1847,104,25,96,8,769.8653161926808
1848,201,19,141,60,112.42801041925098
1849,130,20,73,57,238.33606181607743
1850,45,13,28,17,277.7055975783476
1851,38,7,20,18,339.9813062169313
1852,391,50,207,184,71.76935066418149
1853,53,10,29,24,67.32862172873423
1854,158,20,81,77,10.832270185880065
1855,245,47,123,122,98.84547323539344
1856,35,7,18,17,6.451482426303855
1857,211,24,138,73,247.47238042780268
1858,10,5,5,5,700.4436944444444
1859,355,14,189,166,79.6650999703122
1860,8,4,4,4,1943.622986111111
1861,25,5,18,7,86.59658055555555
1862,61,10,35,26,207.17024824074073
1863,5,3,3,2,1073.2925
1864,15,8,10,5,746.0007777777779
1865,35,9,16,19,412.3298189300411
1866,173,24,91,82,77.92193472325214
1867,31,17,18,13,1042.7308217592595
1868,9,4,6,3,228.59641203703703
1869,57,13,29,28,98.64274553571427
1870,15,7,11,4,105.41832407407408
1871,5,3,3,2,137.9584722222222
1872,14,4,9,5,256.5719560185185
1873,28,14,16,12,243.1513078703704
1874,40,7,32,8,234.0280080467372
1875,324,31,194,130,60.56163238105165
1876,14,5,8,6,19.19828703703704
1877,24,9,14,10,254.56757465277778
1878,18,7,10,8,315.65049603174606
1880,23,4,12,11,356.745174382716
1881,15,3,9,6,581.6916552028218
1882,70,11,36,34,158.3220640844722
1883,35,9,24,11,341.64402006172844
1884,18,6,9,9,86.72016782407407
1885,133,30,66,67,142.07065817901233
1886,4,1,2,2,29.16576388888889
1887,34,10,21,13,32.936342592592595
1888,11,6,6,5,741.2940000000001
1890,15,5,8,7,224.253175
1891,48,11,26,22,17.084042508417507
1892,26,6,19,7,359.1172389403293
1893,13,4,10,3,1344.7288252314813
1894,36,14,23,13,431.72732549857545
1895,10,5,6,4,276.4598958333333
1896,415,20,210,205,42.297370809973934
1897,173,34,88,85,98.64764256535949
1898,4,2,2,2,0.39152777777777775
1899,39,15,22,17,162.9333222934473
1900,5,3,4,1,0.08444444444444445
1901,21,5,13,8,117.51099247685185
1902,13,5,8,5,398.3623518518518
1904,3,1,2,1,288.0000925925926
1906,9,6,7,2,568.0000462962963
1907,3,2,2,1,348.145
1908,11,4,6,5,488.9308333333333
1909,204,21,112,92,88.8084791971124
1910,10,6,6,4,3.1024652777777777
1911,1531,15,1098,433,28.178112557459613
1912,4,2,3,1,0.08368055555555555
1913,230,20,117,113,19.91391703852677
1914,55,5,47,8,178.69021615791615
1915,14,5,7,7,108.46243055555556
1916,4,2,2,2,335.42409722222226
1917,24,8,12,12,202.5899016203704
1918,16,10,15,1,1730.2441898148147
1919,72,8,36,36,65.8607254050926
1920,31,13,17,14,203.4396990740741
1921,20,5,10,10,216.41457175925927
1922,41,15,26,15,403.99318132716047
1923,17,7,9,8,279.761455026455
1924,37,7,22,15,22.958480004122862
1925,8,3,6,2,1267.9865740740743
1926,19,8,11,8,6.841064814814816
1927,42,6,23,19,10.568007716049383
1928,40,7,22,18,361.6382837301588
1929,21,10,11,10,198.5678935185185
1931,46,6,23,23,87.04885931069958
1933,14,5,12,2,362.923113425926
1934,44,7,26,18,167.576000518726
1935,161,34,83,78,40.20160169623404
1936,457,23,238,219,77.50303583900799
1937,15,6,8,7,78.74826851851851
1938,74,16,42,32,126.0638291005291
1939,136,20,84,52,76.15038215732356
1941,170,9,92,78,9.268173847221188
1942,10,4,5,5,54.505781250000005
1943,48,33,39,9,509.65
1945,7,1,6,1,575.8572222222222
1947,9,5,6,3,1772.2185030864196
1948,5,3,4,1,857.9915277777778
1949,8,4,5,3,492.7236574074074
1951,288,13,149,139,13.237011930199431
1952,566,106,313,253,102.75867946902056
1953,3,2,2,1,48.524861111111115
1954,271,34,139,132,165.44943880506744
1955,14,6,7,7,89.02895833333334
1956,83,14,43,40,184.1285867346939
1957,23,7,12,11,285.1833290816327
1958,45,9,23,22,134.5775217013889
1959,25,9,12,13,156.77236882716048
1960,23,9,12,11,522.1586371527777
1962,4,1,2,2,575.6617361111112
1963,33,11,18,15,133.47245959595963
1964,6,3,3,3,776.9278240740741
1966,4,2,2,2,829.1899305555555
1967,8,4,5,3,1355.6667592592594
1968,18,7,10,8,99.09961970899471
1969,11,9,10,1,1620.3714583333333
1970,9,3,5,4,456.9095216049382
1971,4,2,2,2,107.890625
1972,12,8,8,4,118.1132638888889
1973,11,4,10,1,693.2163456790122
1974,25,2,13,12,140.86117063492065
1975,7,3,3,4,96.13354938271605
1976,16,6,10,6,133.63896296296295
1977,33,15,17,16,37.05186507936508
1978,5,3,3,2,1226.727361111111
1979,9,5,5,4,357.90954861111106
1980,8,4,4,4,15.369305555555556
1981,64,14,35,29,280.6368484268707
1982,23,12,12,11,110.02175505050505
1983,17,6,9,8,231.62241666666668
1986,48,13,24,24,149.99322204415955
1987,6,3,3,3,124.24398148148147
1988,38,13,23,15,206.1586296296297
1989,11,3,6,5,244.62386904761902
1990,8,5,6,2,331.80155092592594
1991,28,4,15,13,214.8570702160494
1992,12,4,7,5,204.85035185185183
1994,15,5,9,6,309.65225694444445
1995,187,18,94,93,90.82887402065526
1996,10,2,6,4,389.68026041666667
1997,1206,35,798,408,90.68691584019228
1998,23,8,13,10,52.15187996031746
